Indicator,Source_Type,Country,Disaggregation,Year,Value,Number of observations
"Small-scale food producers, share of total agricultural households (%)",Household level,Albania,National,2005,50.700001,1909
"Small-scale food producers, share of total agricultural households (%)",Household level,Armenia,National,2010,81.699997,6942
"Small-scale food producers, share of total agricultural households (%)",Household level,Armenia,National,2013,85,4129
"Small-scale food producers, share of total agricultural households (%)",Household level,Bangladesh,National,2010,68,8531
"Small-scale food producers, share of total agricultural households (%)",Household level,Benin,National,2019,69.5,3844
"Small-scale food producers, share of total agricultural households (%)",Household level,Bolivia (Plurinational State of),National,2008,62.5,1452
"Small-scale food producers, share of total agricultural households (%)",Household level,Bulgaria,National,2007,73.300003,1358
"Small-scale food producers, share of total agricultural households (%)",Household level,Burkina Faso,National,2014,56.400002,7332
"Small-scale food producers, share of total agricultural households (%)",Household level,Burkina Faso,National,2019,56.200001,5076
"Small-scale food producers, share of total agricultural households (%)",Household level,Cambodia,National,2009,37.700001,9103
"Small-scale food producers, share of total agricultural households (%)",Household level,Cameroon,National,2014,60.799999,5974
"Small-scale food producers, share of total agricultural households (%)",Household level,Côte d'Ivoire,National,2008,65,6653
"Small-scale food producers, share of total agricultural households (%)",Household level,Côte d'Ivoire,National,2019,59.799999,6912
"Small-scale food producers, share of total agricultural households (%)",Household level,Ecuador,National,2006,61.700001,6091
"Small-scale food producers, share of total agricultural households (%)",Household level,Ecuador,National,2014,57.099998,10630
"Small-scale food producers, share of total agricultural households (%)",Household level,Ethiopia,National,2014,50.400002,3454
"Small-scale food producers, share of total agricultural households (%)",Household level,Ethiopia,National,2016,52.900002,3408
"Small-scale food producers, share of total agricultural households (%)",Household level,Ethiopia,National,2019,51.900002,2506
"Small-scale food producers, share of total agricultural households (%)",Household level,Georgia,National,2013,57.200001,7056
"Small-scale food producers, share of total agricultural households (%)",Household level,Georgia,National,2014,60.799999,6902
"Small-scale food producers, share of total agricultural households (%)",Household level,Georgia,National,2015,59.099998,6766
"Small-scale food producers, share of total agricultural households (%)",Household level,Georgia,National,2016,52.599998,6591
"Small-scale food producers, share of total agricultural households (%)",Household level,Ghana,National,2013,57.200001,10251
"Small-scale food producers, share of total agricultural households (%)",Household level,Ghana,National,2017,58.400002,8462
"Small-scale food producers, share of total agricultural households (%)",Household level,Guatemala,National,2011,57.099998,5384
"Small-scale food producers, share of total agricultural households (%)",Household level,Guatemala,National,2014,62.900002,4050
"Small-scale food producers, share of total agricultural households (%)",Household level,Guinea-Bissau,National,2019,63.299999,3673
"Small-scale food producers, share of total agricultural households (%)",Household level,India,National,2005,53,19165
"Small-scale food producers, share of total agricultural households (%)",Household level,India,National,2012,53.5,21316
"Small-scale food producers, share of total agricultural households (%)",Household level,Iraq,National,2007,68.300003,3984
"Small-scale food producers, share of total agricultural households (%)",Household level,Iraq,National,2012,60.599998,4997
"Small-scale food producers, share of total agricultural households (%)",Household level,Kenya,National,2005,50.599998,8755
"Small-scale food producers, share of total agricultural households (%)",Household level,Kyrgyzstan,National,2013,57.5,2881
